doi,title,abstract,date,category,disease_label,keyword_used,abstract_cleaned,abstract_preprocessed
10.1101/058511,Respiratory physiological perturbations after acute smoke-induced lung injury and during extracorporeal membrane oxygenation support in sheep,"BackgroundNumerous successful therapies developed for human medicine involve animal experimentation. Animal studies that are focused solely on translational potential, may not sufficiently document unexpected outcomes. Considerable amounts of data from such studies could be used to advance veterinary science. For example, sheep are increasingly being used as models of intensive care and therefore, data arising from such models must be published. In this study, the hypothesis is that there is little information describing cardiorespiratory physiological data from sheep models of intensive care and the author aimed to analyse such data to provide biological information that is currently not available for sheep that received extracorporeal life support (ECLS) following acute smoke-induced lung injury.

MethodsNineteen mechanically ventilated adult ewes undergoing intensive care during evaluation of a form of ECLS (treatment) for acute lung injury were used to collate clinical observations. Eight sheep were injured by acute smoke inhalation prior to treatment (injured/treated), while another eight were not injured but treated (uninjured/treated). Two sheep were injured but not treated (injured/untreated), while one received room air instead of smoke as the injury and was not treated (placebo/untreated). The data were then analysed for 11 physiological categories and compared between the two treated groups.

ResultsCompared with the baseline, treatment contributed to and exacerbated the deterioration of pulmonary pathology by reducing lung compliance and the arterial oxygen partial pressure to fractional inspired oxygen (PaO2/FiO2) ratio. The oxygen extraction index changes mirrored those of the PaO2/FiO2 ratio. Decreasing coronary perfusion pressure predicted the severity of cardiopulmonary injury.

ConclusionsThese novel observations could help in understanding similar pathology such as that which occurs in animal victims of smoke inhalation from house or bush fires, aspiration pneumonia secondary to tick paralysis and in the management of the severe coronavirus disease 2019 (COVID-19) in humans.",2020-06-13,scientific communication and education,COVID-19,COVID-19,backgroundnumerous successful therapies developed for human medicine involve animal experimentation animal studies that are focused solely on translational potential may not sufficiently document unexpected outcomes considerable amounts of data from such studies could be used to advance veterinary science for example sheep are increasingly being used as models of intensive care and therefore data arising from such models must be published in this study the hypothesis is that there is little information describing cardiorespiratory physiological data from sheep models of intensive care and the author aimed to analyse such data to provide biological information that is currently not available for sheep that received extracorporeal life support ecls following acute smoke induced lung injury methodsnineteen mechanically ventilated adult ewes undergoing intensive care during evaluation of a form of ecls treatment for acute lung injury were used to collate clinical observations eight sheep were injured by acute smoke inhalation prior to treatment injured treated while another eight were not injured but treated uninjured treated two sheep were injured but not treated injured untreated while one received room air instead of smoke as the injury and was not treated placebo untreated the data were then analysed for physiological categories and compared between the two treated groups resultscompared with the baseline treatment contributed to and exacerbated the deterioration of pulmonary pathology by reducing lung compliance and the arterial oxygen partial pressure to fractional inspired oxygen pao fio ratio the oxygen extraction index changes mirrored those of the pao fio ratio decreasing coronary perfusion pressure predicted the severity of cardiopulmonary injury conclusionsthese novel observations could help in understanding similar pathology such as that which occurs in animal victims of smoke inhalation from house or bush fires aspiration pneumonia secondary to tick paralysis and in the management of the severe coronavirus disease covid in humans,backgroundnumerous successful therapy develop human medicine involve animal experimentation animal study focus solely translational potential may sufficiently document unexpected outcome considerable amount data study could use advance veterinary science example sheep increasingly use model intensive care therefore datum arise model must publish study hypothesis little information describe cardiorespiratory physiological datum sheep model intensive care author aim analyse datum provide biological information currently available sheep receive extracorporeal life support ecls follow acute smoke induce lung injury methodsnineteen mechanically ventilate adult ewe undergo intensive care evaluation form ecls treatment acute lung injury use collate clinical observation eight sheep injure acute smoke inhalation prior treatment injure treat another eight injure treat uninjured treat two sheep injure treat injured untreated one receive room air instead smoke injury treat placebo untreated datum analyse physiological category compare two treat group resultscompare baseline treatment contribute exacerbate deterioration pulmonary pathology reduce lung compliance arterial oxygen partial pressure fractional inspire oxygen pao fio ratio oxygen extraction index change mirror pao fio ratio decrease coronary perfusion pressure predict severity cardiopulmonary injury conclusionsthese novel observation could help understand similar pathology occur animal victim smoke inhalation house bush fires aspiration pneumonia secondary tick paralysis management severe coronavirus disease covid human
10.1101/292979,Manipulation of the unfolded protein response: a pharmacological strategy against coronavirus infection,"Coronavirus infection induces the unfolded protein response (UPR), a cellular signalling pathway composed of three branches, triggered by unfolded proteins in the endoplasmic reticulum (ER) due to high ER load. We have used RNA sequencing and ribosome profiling to investigate holistically the transcriptional and translational response to cellular infection by murine hepatitis virus (MHV), often used as a model for the Betacoronavirus genus to which the recently emerged SARS-CoV-2 also belongs. We found the UPR to be amongst the most significantly up-regulated pathways in response to MHV infection. To confirm and extend these observations, we show experimentally the induction of all three branches of the UPR in both MHV- and SARS-CoV-2-infected cells. Over-expression of the SARS-CoV-2 ORF8 or S proteins alone is itself sufficient to induce the UPR. Remarkably, pharmacological inhibition of the UPR greatly reduced the replication of both MHV and SARS-CoV-2, revealing the importance of this pathway for successful coronavirus replication. This was particularly striking when both IRE1 and ATF6 branches of the UPR were inhibited, reducing SARS-CoV-2 virion release [~]1,000-fold. Together, these data highlight the UPR as a promising antiviral target to combat coronavirus infection.

Author SummarySARS-CoV-2 is the novel coronavirus responsible for the COVID-19 pandemic which has resulted in over 100 million cases since the end of 2019. Most people infected with the virus will experience mild to moderate respiratory illness and recover without any special treatment. However, older people, and those with underlying medical problems like chronic respiratory disease are more likely to develop a serious illness. So far, more than 2 million people have died of COVID-19. Unfortunately, there is no specific medication for this viral disease.

In order to produce viral proteins and to replicate their genetic information, all coronaviruses use a cellular structure known as the endoplasmic reticulum or ER. However, the massive production and modification of viral proteins stresses the ER and this activates a compensatory cellular response that tries to reduce ER protein levels. This is termed the unfolded protein response or UPR. We believe that coronaviruses take advantage of the activation of the UPR to enhance their replication.

The UPR is also activated in some types of cancer and neurodegenerative disorders and UPR inhibitor drugs have been developed to tackle these diseases. In this work, we have tested some of these compounds in human lung cells infected with SARS-CoV-2 and found that virus production was reduced 1000-fold in human lung cells.",2021-03-19,microbiology,COVID-19,COVID-19,coronavirus infection induces the unfolded protein response upr a cellular signalling pathway composed of three branches triggered by unfolded proteins in the endoplasmic reticulum er due to high er load we have used rna sequencing and ribosome profiling to investigate holistically the transcriptional and translational response to cellular infection by murine hepatitis virus mhv often used as a model for the betacoronavirus genus to which the recently emerged sars cov also belongs we found the upr to be amongst the most significantly up regulated pathways in response to mhv infection to confirm and extend these observations we show experimentally the induction of all three branches of the upr in both mhv and sars cov infected cells over expression of the sars cov orf or s proteins alone is itself sufficient to induce the upr remarkably pharmacological inhibition of the upr greatly reduced the replication of both mhv and sars cov revealing the importance of this pathway for successful coronavirus replication this was particularly striking when both ire and atf branches of the upr were inhibited reducing sars cov virion release fold together these data highlight the upr as a promising antiviral target to combat coronavirus infection author summarysars cov is the novel coronavirus responsible for the covid pandemic which has resulted in over million cases since the end of most people infected with the virus will experience mild to moderate respiratory illness and recover without any special treatment however older people and those with underlying medical problems like chronic respiratory disease are more likely to develop a serious illness so far more than million people have died of covid unfortunately there is no specific medication for this viral disease in order to produce viral proteins and to replicate their genetic information all coronaviruses use a cellular structure known as the endoplasmic reticulum or er however the massive production and modification of viral proteins stresses the er and this activates a compensatory cellular response that tries to reduce er protein levels this is termed the unfolded protein response or upr we believe that coronaviruses take advantage of the activation of the upr to enhance their replication the upr is also activated in some types of cancer and neurodegenerative disorders and upr inhibitor drugs have been developed to tackle these diseases in this work we have tested some of these compounds in human lung cells infected with sars cov and found that virus production was reduced fold in human lung cells,coronavirus infection induce unfold protein response upr cellular signal pathway compose three branch trigger unfold protein endoplasmic reticulum due high load use rna sequence ribosome profiling investigate holistically transcriptional translational response cellular infection murine hepatitis virus mhv often use model betacoronavirus genus recently emerge sar cov also belong find upr amongst significantly regulated pathway response mhv infection confirm extend observation show experimentally induction three branch upr mhv sar cov infect cell expression sar cov orf protein alone sufficient induce upr remarkably pharmacological inhibition upr greatly reduce replication mhv sar cov reveal importance pathway successful coronavirus replication particularly strike ire atf branch upr inhibit reduce sar cov virion release fold together datum highlight upr promise antiviral target combat coronavirus infection author summarysar cov novel coronavirus responsible covid pandemic result million case since end people infect virus experience mild moderate respiratory illness recover without special treatment however old people underlie medical problem like chronic respiratory disease likely develop serious illness far million people die covid unfortunately specific medication viral disease order produce viral protein replicate genetic information coronaviruse use cellular structure know endoplasmic reticulum however massive production modification viral protein stress activate compensatory cellular response try reduce protein level term unfold protein response upr believe coronaviruse take advantage activation upr enhance replication upr also activate type cancer neurodegenerative disorder upr inhibitor drug develop tackle disease work test compound human lung cell infect sar cov find virus production reduce fold human lung cell
10.1101/663930,The Cellular Immunity Agent Based Model (CIABM): Replicating the cellular immune response to viral respiratory infection,"Viral respiratory infections, such as influenza, result in over 1 million deaths worldwide each year. To date, there are few therapeutic interventions able to affect the course of the disease once acquired, a deficit with stark consequences that were readily evident in the current COVID-19 pandemic. We present the Cellular Immune Agent Based Model (CIABM) as a flexible framework for modeling acute viral infection and cellular immune memory development. The mechanism/rule-based nature of the CIABM allows for interrogation of the complex dynamics of the human immune system during various types of viral infections. The CIABM is an extension of a prior agent-based model of the innate immune response, incorporating additional cellular types and mediators involved in the response to viral infection. The CIABM simulates the dynamics of viral respiratory infection in terms of epithelial invasion, immune cellular population changes and cytokine measurements. Validation of the CIABM involved effectively replicating in vivo measurements of circulating mediator levels from a clinical cohort of influenza patients. The general purpose nature of the CIABM allows for both the representation of various types of known viral infections and facilitates the exploration of hypothetical, novel viral pathogens.",2020-08-26,immunology,COVID-19,COVID-19,viral respiratory infections such as influenza result in over million deaths worldwide each year to date there are few therapeutic interventions able to affect the course of the disease once acquired a deficit with stark consequences that were readily evident in the current covid pandemic we present the cellular immune agent based model ciabm as a flexible framework for modeling acute viral infection and cellular immune memory development the mechanism rule based nature of the ciabm allows for interrogation of the complex dynamics of the human immune system during various types of viral infections the ciabm is an extension of a prior agent based model of the innate immune response incorporating additional cellular types and mediators involved in the response to viral infection the ciabm simulates the dynamics of viral respiratory infection in terms of epithelial invasion immune cellular population changes and cytokine measurements validation of the ciabm involved effectively replicating in vivo measurements of circulating mediator levels from a clinical cohort of influenza patients the general purpose nature of the ciabm allows for both the representation of various types of known viral infections and facilitates the exploration of hypothetical novel viral pathogens,viral respiratory infection influenza result million death worldwide year date therapeutic intervention able affect course disease acquire deficit stark consequence readily evident current covid pandemic present cellular immune agent base model ciabm flexible framework model acute viral infection cellular immune memory development mechanism rule base nature ciabm allow interrogation complex dynamic human immune system various type viral infection ciabm extension prior agent base model innate immune response incorporate additional cellular type mediator involve response viral infection ciabm simulate dynamic viral respiratory infection term epithelial invasion immune cellular population change cytokine measurement validation ciabm involve effectively replicate vivo measurement circulate mediator level clinical cohort influenza patient general purpose nature ciabm allow representation various type know viral infection facilitate exploration hypothetical novel viral pathogen
10.1101/711929,Detecting regions of differential abundance betweenscRNA-Seq datasets,"Traditional cell clustering analysis used to compare the transcriptomic landscapes between two biological states in single cell RNA sequencing (scRNA-seq) is largely inadequate to functionally identify distinct and important differentially abundant (DA) subpopulations between groups. This problem is exacerbated further when using unsupervised clustering approaches where differences are not observed in clear cluster structure and therefore many important differences between two biological states go entirely unseen. Here, we develop DA-seq, a powerful unbiased, multi-scale algorithm that uniquely detects and decodes novel DA subpopulations not restricted to well separated clusters or known cell types. We apply DA-seq to several publicly available scRNA-seq datasets on various biological systems to detect differences between distinct phenotype in COVID-19 cases, melanomas subjected to immune checkpoint therapy, embryonic development and aging brain, as well as simulated data. Importantly, we find that DA-seq not only recovers the DA cell types as discovered in the original studies, but also reveals new DA subpopulations that were not described before. Analysis of these novel subpopulations yields new biological insights that would otherwise be neglected.",2020-03-18,bioinformatics,COVID-19,COVID-19,traditional cell clustering analysis used to compare the transcriptomic landscapes between two biological states in single cell rna sequencing scrna seq is largely inadequate to functionally identify distinct and important differentially abundant da subpopulations between groups this problem is exacerbated further when using unsupervised clustering approaches where differences are not observed in clear cluster structure and therefore many important differences between two biological states go entirely unseen here we develop da seq a powerful unbiased multi scale algorithm that uniquely detects and decodes novel da subpopulations not restricted to well separated clusters or known cell types we apply da seq to several publicly available scrna seq datasets on various biological systems to detect differences between distinct phenotype in covid cases melanomas subjected to immune checkpoint therapy embryonic development and aging brain as well as simulated data importantly we find that da seq not only recovers the da cell types as discovered in the original studies but also reveals new da subpopulations that were not described before analysis of these novel subpopulations yields new biological insights that would otherwise be neglected,traditional cell cluster analysis use compare transcriptomic landscape two biological state single cell rna sequence scrna seq largely inadequate functionally identify distinct important differentially abundant subpopulation group problem exacerbate use unsupervised clustering approach difference observe clear cluster structure therefore many important difference two biological state entirely unseen develop seq powerful unbiased multi scale algorithm uniquely detect decode novel subpopulation restrict well separate cluster know cell type apply seq several publicly available scrna seq dataset various biological system detect difference distinct phenotype covid case melanomas subject immune checkpoint therapy embryonic development age brain well simulate datum importantly find seq recover cell type discover original study also reveal new subpopulation describe analysis novel subpopulation yield new biological insight would otherwise neglect
10.1101/833418,Linear B-cell epitope prediction for in silico vaccine design: a performance review of methods available via command-line interface,"Linear B-cell epitope prediction research has received a steadily growing interest ever since the first method was developed in 1981. B-cell epitope identification with the help of an accurate prediction method can lead to an overall faster and cheaper vaccine design process, a crucial necessity in the covid-19 era. Consequently, several B-cell epitope prediction methods have been developed over the past few decades, but without significant success. In this study, we review the current performance and methodology of some of the most widely used linear B-cell epitope predictors which are available via a command-line interface, namely BcePred, BepiPred, ABCpred, COBEpro, SVMTriP, LBtope, and LBEEP. Additionally, we attempted to remedy performance issues of the individual methods by developing a consensus classifier, which combines the separate predictions of these methods into a single output, accelerating the epitope-based vaccine design. While the method comparison was performed with some necessary caveats and individual methods might perform much better for specialized datasets, we hope that this update in performance can aid researchers towards the choice of a predictor, for the development of biomedical applications such as designed vaccines, diagnostic kits, immunotherapeutics, immunodiagnostic tests, antibody production, and disease diagnosis and therapy.",2021-03-13,bioinformatics,COVID-19,COVID-19,linear b cell epitope prediction research has received a steadily growing interest ever since the first method was developed in b cell epitope identification with the help of an accurate prediction method can lead to an overall faster and cheaper vaccine design process a crucial necessity in the covid era consequently several b cell epitope prediction methods have been developed over the past few decades but without significant success in this study we review the current performance and methodology of some of the most widely used linear b cell epitope predictors which are available via a command line interface namely bcepred bepipred abcpred cobepro svmtrip lbtope and lbeep additionally we attempted to remedy performance issues of the individual methods by developing a consensus classifier which combines the separate predictions of these methods into a single output accelerating the epitope based vaccine design while the method comparison was performed with some necessary caveats and individual methods might perform much better for specialized datasets we hope that this update in performance can aid researchers towards the choice of a predictor for the development of biomedical applications such as designed vaccines diagnostic kits immunotherapeutics immunodiagnostic tests antibody production and disease diagnosis and therapy,linear cell epitope prediction research receive steadily grow interest ever since first method develop cell epitope identification help accurate prediction method lead overall fast cheap vaccine design process crucial necessity covid era consequently several cell epitope prediction method develop past decade without significant success study review current performance methodology widely use linear cell epitope predictor available via command line interface namely bcepre bepipred abcpre cobepro svmtrip lbtope lbeep additionally attempt remedy performance issue individual method develop consensus classifier combine separate prediction method single output accelerate epitope base vaccine design method comparison perform necessary caveat individual method might perform much well specialize dataset hope update performance aid researcher towards choice predictor development biomedical application design vaccine diagnostic kit immunotherapeutic immunodiagnostic test antibody production disease diagnosis therapy
10.1101/2020.01.15.907873,The WD and linker domains of ATG16L1 required for non canonical autophagy limit lethal influenza A virus infection at epithelial surfaces.,"Respiratory viruses such as influenza A virus (IAV) and SARS-CoV-2 (Covid-19) cause pandemic infections where cytokine storm syndrome, lung inflammation and pneumonia lead to high mortality. Given the high social and economic cost of these viruses, there is an urgent need for a comprehensive understanding of how the airways defend against virus infection. Viruses entering cells by endocytosis are killed when delivered to lysosomes for degradation. Lysosome delivery is facilitated by non-canonical autophagy pathways that conjugate LC3 to endo-lysosome compartments to enhance lysosome fusion. Here we use mice lacking the WD and linker domains of ATG16L1 to demonstrate that non-canonical autophagy protects mice from lethal IAV infection of the airways. Mice with systemic loss of non-canonical autophagy are exquisitely sensitive to low-pathogenicity murine-adapted IAV where extensive viral replication throughout the lungs, coupled with cytokine amplification mediated by plasmacytoid dendritic cells, leads to fulminant pneumonia, lung inflammation and high mortality. IAV infection was controlled within epithelial barriers where non-canonical autophagy slowed fusion of IAV with endosomes and reduced activation of interferon signalling. This was consistent with conditional mouse models and ex vivo analysis showing that protection against IAV infection of lung was independent of phagocytes and other leukocytes. This establishes non-canonical autophagy pathways in airway epithelial cells as a novel innate defence mechanism that can restrict IAV infection and lethal inflammation at respiratory surfaces.",2020-01-15,microbiology,COVID-19,COVID-19,respiratory viruses such as influenza a virus iav and sars cov covid cause pandemic infections where cytokine storm syndrome lung inflammation and pneumonia lead to high mortality given the high social and economic cost of these viruses there is an urgent need for a comprehensive understanding of how the airways defend against virus infection viruses entering cells by endocytosis are killed when delivered to lysosomes for degradation lysosome delivery is facilitated by non canonical autophagy pathways that conjugate lc to endo lysosome compartments to enhance lysosome fusion here we use mice lacking the wd and linker domains of atg l to demonstrate that non canonical autophagy protects mice from lethal iav infection of the airways mice with systemic loss of non canonical autophagy are exquisitely sensitive to low pathogenicity murine adapted iav where extensive viral replication throughout the lungs coupled with cytokine amplification mediated by plasmacytoid dendritic cells leads to fulminant pneumonia lung inflammation and high mortality iav infection was controlled within epithelial barriers where non canonical autophagy slowed fusion of iav with endosomes and reduced activation of interferon signalling this was consistent with conditional mouse models and ex vivo analysis showing that protection against iav infection of lung was independent of phagocytes and other leukocytes this establishes non canonical autophagy pathways in airway epithelial cells as a novel innate defence mechanism that can restrict iav infection and lethal inflammation at respiratory surfaces,respiratory virus influenza virus iav sars cov covid cause pandemic infection cytokine storm syndrome lung inflammation pneumonia lead high mortality give high social economic cost virus urgent need comprehensive understanding airways defend virus infection virus enter cell endocytosis kill deliver lysosome degradation lysosome delivery facilitate non canonical autophagy pathways conjugate endo lysosome compartment enhance lysosome fusion use mouse lack linker domain atg demonstrate non canonical autophagy protect mouse lethal iav infection airway mice systemic loss non canonical autophagy exquisitely sensitive low pathogenicity murine adapt iav extensive viral replication throughout lung couple cytokine amplification mediate plasmacytoid dendritic cell lead fulminant pneumonia lung inflammation high mortality iav infection control within epithelial barrier non canonical autophagy slow fusion iav endosome reduce activation interferon signal consistent conditional mouse model vivo analysis show protection iav infection lung independent phagocyte leukocyte establish non canonical autophagy pathway airway epithelial cell novel innate defence mechanism restrict iav infection lethal inflammation respiratory surface
10.1101/2020.01.12.902452,Programmable low-cost DNA-based platform for viral RNA detection,"Viral detection is critical for controlling disease spread and progression. Recent emerging viral threats including Zika, Ebola, and the current COVID-19 outbreak highlight the cost and difficulty in responding rapidly. To address these challenges, we develop a platform for low-cost and rapid detection of viral RNA with DNA nanoswitches designed to mechanically reconfigure in response to specific viruses. Using Zika virus as a model system, we show non-enzymatic detection of viral RNA to the attomole level, with selective and multiplexed detection between related viruses and viral strains. For clinical-level sensitivity in biological fluids, we paired the assay with a sample preparation step using either RNA extraction or isothermal pre-amplification. Our assay can be performed with minimal or no lab infrastructure, and is readily adaptable to detect other viruses. We demonstrate the adaptability of our method by quickly developing and testing DNA nanoswitches for detecting a fragment of SARS-CoV-2 RNA in human saliva. Given this versatility, we expect that further development and field implementation will improve our ability to detect emergent viral threats and ultimately limit their impact.",2020-01-16,bioengineering,COVID-19,COVID-19,viral detection is critical for controlling disease spread and progression recent emerging viral threats including zika ebola and the current covid outbreak highlight the cost and difficulty in responding rapidly to address these challenges we develop a platform for low cost and rapid detection of viral rna with dna nanoswitches designed to mechanically reconfigure in response to specific viruses using zika virus as a model system we show non enzymatic detection of viral rna to the attomole level with selective and multiplexed detection between related viruses and viral strains for clinical level sensitivity in biological fluids we paired the assay with a sample preparation step using either rna extraction or isothermal pre amplification our assay can be performed with minimal or no lab infrastructure and is readily adaptable to detect other viruses we demonstrate the adaptability of our method by quickly developing and testing dna nanoswitches for detecting a fragment of sars cov rna in human saliva given this versatility we expect that further development and field implementation will improve our ability to detect emergent viral threats and ultimately limit their impact,viral detection critical controlling disease spread progression recent emerge viral threat include zika ebola current covid outbreak highlight cost difficulty respond rapidly address challenge develop platform low cost rapid detection viral rna dna nanoswitche design mechanically reconfigure response specific virus use zika virus model system show non enzymatic detection viral rna attomole level selective multiplexed detection relate virus viral strain clinical level sensitivity biological fluid pair assay sample preparation step use either rna extraction isothermal pre amplification assay perform minimal lab infrastructure readily adaptable detect virus demonstrate adaptability method quickly develop testing dna nanoswitche detect fragment sar cov rna human saliva give versatility expect development field implementation improve ability detect emergent viral threat ultimately limit impact
10.1101/2020.01.26.919985,"Single-cell RNA expression profiling of ACE2, the putative receptor of Wuhan 2019-nCov","A novel coronavirus SARS-CoV-2 was identified in Wuhan, Hubei Province, China in December of 2019. According to WHO report, this new coronavirus has resulted in 76,392 confirmed infections and 2,348 deaths in China by 22 February, 2020, with additional patients being identified in a rapidly growing number internationally. SARS-CoV-2 was reported to share the same receptor, Angiotensin-converting enzyme 2 (ACE2), with SARS-CoV. Here based on the public database and the state-of-the-art single-cell RNA-Seq technique, we analyzed the ACE2 RNA expression profile in the normal human lungs. The result indicates that the ACE2 virus receptor expression is concentrated in a small population of type II alveolar cells (AT2). Surprisingly, we found that this population of ACE2-expressing AT2 also highly expressed many other genes that positively regulating viral entry, reproduction and transmission. This study provides a biological background for the epidemic investigation of the COVID-19, and could be informative for future anti-ACE2 therapeutic strategy development.",2020-01-26,bioinformatics,COVID-19,COVID-19,a novel coronavirus sars cov was identified in wuhan hubei province china in december of according to who report this new coronavirus has resulted in confirmed infections and deaths in china by february with additional patients being identified in a rapidly growing number internationally sars cov was reported to share the same receptor angiotensin converting enzyme ace with sars cov here based on the public database and the state of the art single cell rna seq technique we analyzed the ace rna expression profile in the normal human lungs the result indicates that the ace virus receptor expression is concentrated in a small population of type ii alveolar cells at surprisingly we found that this population of ace expressing at also highly expressed many other genes that positively regulating viral entry reproduction and transmission this study provides a biological background for the epidemic investigation of the covid and could be informative for future anti ace therapeutic strategy development,novel coronavirus sars cov identify wuhan hubei province china december accord report new coronavirus result confirm infection death china february additional patient identify rapidly grow number internationally sar cov report share receptor angiotensin convert enzyme ace sars cov base public database state art single cell rna seq technique analyze ace rna expression profile normal human lung result indicate ace virus receptor expression concentrate small population type alveolar cell surprisingly find population ace express also highly express many gene positively regulate viral entry reproduction transmission study provide biological background epidemic investigation covid could informative future anti ace therapeutic strategy development
10.1101/2020.01.29.925354,Interpretable detection of novel human viruses from genome sequencing data,"Viruses evolve extremely quickly, so reliable methods for viral host prediction are necessary to safeguard biosecurity and biosafety alike. Novel human-infecting viruses are difficult to detect with standard bioinformatics workflows. Here, we predict whether a virus can infect humans directly from next-generation sequencing reads. We show that deep neural architectures significantly outperform both shallow machine learning and standard, homology-based algorithms, cutting the error rates in half and generalizing to taxonomic units distant from those presented during training. Further, we develop a suite of interpretability tools and show that it can be applied also to other models beyond the host prediction task. We propose a new approach for convolutional filter visualization to disentangle the information content of each nucleotide from its contribution to the final classification decision. Nucleotide-resolution maps of the learned associations between pathogen genomes and the infectious phenotype can be used to detect regions of interest in novel agents, for example the SARS-CoV-2 coronavirus, unknown before it caused a COVID-19 pandemic in 2020. All methods presented here are implemented as easy-to-install packages enabling analysis of NGS datasets without requiring any deep learning skills, but also allowing advanced users to easily train and explain new models for genomics.",2020-01-30,bioinformatics,COVID-19,COVID-19,viruses evolve extremely quickly so reliable methods for viral host prediction are necessary to safeguard biosecurity and biosafety alike novel human infecting viruses are difficult to detect with standard bioinformatics workflows here we predict whether a virus can infect humans directly from next generation sequencing reads we show that deep neural architectures significantly outperform both shallow machine learning and standard homology based algorithms cutting the error rates in half and generalizing to taxonomic units distant from those presented during training further we develop a suite of interpretability tools and show that it can be applied also to other models beyond the host prediction task we propose a new approach for convolutional filter visualization to disentangle the information content of each nucleotide from its contribution to the final classification decision nucleotide resolution maps of the learned associations between pathogen genomes and the infectious phenotype can be used to detect regions of interest in novel agents for example the sars cov coronavirus unknown before it caused a covid pandemic in all methods presented here are implemented as easy to install packages enabling analysis of ngs datasets without requiring any deep learning skills but also allowing advanced users to easily train and explain new models for genomics,virus evolve extremely quickly reliable method viral host prediction necessary safeguard biosecurity biosafety alike novel human infect virus difficult detect standard bioinformatics workflow predict whether virus infect human directly next generation sequence read show deep neural architecture significantly outperform shallow machine learn standard homology base algorithm cut error rate half generalize taxonomic unit distant present training develop suite interpretability tool show apply also model beyond host prediction task propose new approach convolutional filter visualization disentangle information content nucleotide contribution final classification decision nucleotide resolution maps learn association pathogen genome infectious phenotype use detect region interest novel agent example sar cov coronavirus unknown cause covid pandemic method present implement easy install package enable analysis ng dataset without require deep learning skill also allow advanced user easily train explain new model genomic
10.1101/2020.01.31.929695,Molecular Modeling Evaluation of the Binding Abilities of Ritonavir and Lopinavir to Wuhan Pneumonia Coronavirus Proteases,"Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19). In this study, the structure models of two severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) proteases, coronavirus endopeptidase C30 (CEP_C30) and papain like viral protease (PLVP), were built by homology modeling. Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes. In the simulations, ritonavir can bind to CEP_C30 most suitably, and induce significant conformation changes of CEP_C30; lopinavir can also bind to CEP_C30 suitably, and induce significant conformation changes of CEP_C30; darunavir can bind to PLVP suitably with slight conformation changes of PLVP. It is suggested that the therapeutic effect of ritonavir and lopinavir on COVID-19 may be mainly due to their inhibitory effect on CEP_C30, while ritonavir may have stronger efficacy; the inhibitory effect of darunavir on SARS-CoV-2 and its potential therapeutic effect may be mainly due to its inhibitory effect on PLVP.",2020-02-03,biochemistry,COVID-19,COVID-19,three anti hiv drugs ritonavir lopinavir and darunavir might have therapeutic effect on coronavirus disease covid in this study the structure models of two severe acute respiratory syndrome coronavirus sars cov proteases coronavirus endopeptidase c cep c and papain like viral protease plvp were built by homology modeling ritonavir lopinavir and darunavir were then docked to the models respectively followed by energy minimization of the protease drug complexes in the simulations ritonavir can bind to cep c most suitably and induce significant conformation changes of cep c lopinavir can also bind to cep c suitably and induce significant conformation changes of cep c darunavir can bind to plvp suitably with slight conformation changes of plvp it is suggested that the therapeutic effect of ritonavir and lopinavir on covid may be mainly due to their inhibitory effect on cep c while ritonavir may have stronger efficacy the inhibitory effect of darunavir on sars cov and its potential therapeutic effect may be mainly due to its inhibitory effect on plvp,three anti hiv drug ritonavir lopinavir darunavir might therapeutic effect coronavirus disease covid study structure model two severe acute respiratory syndrome coronavirus sar cov protease coronavirus endopeptidase cep papain like viral protease plvp build homology model ritonavir lopinavir darunavir dock model respectively follow energy minimization protease drug complex simulation ritonavir bind cep suitably induce significant conformation change cep lopinavir also bind cep suitably induce significant conformation change cep darunavir bind plvp suitably slight conformation change plvp suggest therapeutic effect ritonavir lopinavir covid may mainly due inhibitory effect cep ritonavir may strong efficacy inhibitory effect darunavir sar cov potential therapeutic effect may mainly due inhibitory effect plvp
