doi,title,abstract,date,category,disease_label,keyword_used
10.1101/058511,Respiratory physiological perturbations after acute smoke-induced lung injury and during extracorporeal membrane oxygenation support in sheep,"BackgroundNumerous successful therapies developed for human medicine involve animal experimentation. Animal studies that are focused solely on translational potential, may not sufficiently document unexpected outcomes. Considerable amounts of data from such studies could be used to advance veterinary science. For example, sheep are increasingly being used as models of intensive care and therefore, data arising from such models must be published. In this study, the hypothesis is that there is little information describing cardiorespiratory physiological data from sheep models of intensive care and the author aimed to analyse such data to provide biological information that is currently not available for sheep that received extracorporeal life support (ECLS) following acute smoke-induced lung injury.

MethodsNineteen mechanically ventilated adult ewes undergoing intensive care during evaluation of a form of ECLS (treatment) for acute lung injury were used to collate clinical observations. Eight sheep were injured by acute smoke inhalation prior to treatment (injured/treated), while another eight were not injured but treated (uninjured/treated). Two sheep were injured but not treated (injured/untreated), while one received room air instead of smoke as the injury and was not treated (placebo/untreated). The data were then analysed for 11 physiological categories and compared between the two treated groups.

ResultsCompared with the baseline, treatment contributed to and exacerbated the deterioration of pulmonary pathology by reducing lung compliance and the arterial oxygen partial pressure to fractional inspired oxygen (PaO2/FiO2) ratio. The oxygen extraction index changes mirrored those of the PaO2/FiO2 ratio. Decreasing coronary perfusion pressure predicted the severity of cardiopulmonary injury.

ConclusionsThese novel observations could help in understanding similar pathology such as that which occurs in animal victims of smoke inhalation from house or bush fires, aspiration pneumonia secondary to tick paralysis and in the management of the severe coronavirus disease 2019 (COVID-19) in humans.",2020-06-13,scientific communication and education,COVID-19,COVID-19
10.1101/292979,Manipulation of the unfolded protein response: a pharmacological strategy against coronavirus infection,"Coronavirus infection induces the unfolded protein response (UPR), a cellular signalling pathway composed of three branches, triggered by unfolded proteins in the endoplasmic reticulum (ER) due to high ER load. We have used RNA sequencing and ribosome profiling to investigate holistically the transcriptional and translational response to cellular infection by murine hepatitis virus (MHV), often used as a model for the Betacoronavirus genus to which the recently emerged SARS-CoV-2 also belongs. We found the UPR to be amongst the most significantly up-regulated pathways in response to MHV infection. To confirm and extend these observations, we show experimentally the induction of all three branches of the UPR in both MHV- and SARS-CoV-2-infected cells. Over-expression of the SARS-CoV-2 ORF8 or S proteins alone is itself sufficient to induce the UPR. Remarkably, pharmacological inhibition of the UPR greatly reduced the replication of both MHV and SARS-CoV-2, revealing the importance of this pathway for successful coronavirus replication. This was particularly striking when both IRE1 and ATF6 branches of the UPR were inhibited, reducing SARS-CoV-2 virion release [~]1,000-fold. Together, these data highlight the UPR as a promising antiviral target to combat coronavirus infection.

Author SummarySARS-CoV-2 is the novel coronavirus responsible for the COVID-19 pandemic which has resulted in over 100 million cases since the end of 2019. Most people infected with the virus will experience mild to moderate respiratory illness and recover without any special treatment. However, older people, and those with underlying medical problems like chronic respiratory disease are more likely to develop a serious illness. So far, more than 2 million people have died of COVID-19. Unfortunately, there is no specific medication for this viral disease.

In order to produce viral proteins and to replicate their genetic information, all coronaviruses use a cellular structure known as the endoplasmic reticulum or ER. However, the massive production and modification of viral proteins stresses the ER and this activates a compensatory cellular response that tries to reduce ER protein levels. This is termed the unfolded protein response or UPR. We believe that coronaviruses take advantage of the activation of the UPR to enhance their replication.

The UPR is also activated in some types of cancer and neurodegenerative disorders and UPR inhibitor drugs have been developed to tackle these diseases. In this work, we have tested some of these compounds in human lung cells infected with SARS-CoV-2 and found that virus production was reduced 1000-fold in human lung cells.",2021-03-19,microbiology,COVID-19,COVID-19
10.1101/663930,The Cellular Immunity Agent Based Model (CIABM): Replicating the cellular immune response to viral respiratory infection,"Viral respiratory infections, such as influenza, result in over 1 million deaths worldwide each year. To date, there are few therapeutic interventions able to affect the course of the disease once acquired, a deficit with stark consequences that were readily evident in the current COVID-19 pandemic. We present the Cellular Immune Agent Based Model (CIABM) as a flexible framework for modeling acute viral infection and cellular immune memory development. The mechanism/rule-based nature of the CIABM allows for interrogation of the complex dynamics of the human immune system during various types of viral infections. The CIABM is an extension of a prior agent-based model of the innate immune response, incorporating additional cellular types and mediators involved in the response to viral infection. The CIABM simulates the dynamics of viral respiratory infection in terms of epithelial invasion, immune cellular population changes and cytokine measurements. Validation of the CIABM involved effectively replicating in vivo measurements of circulating mediator levels from a clinical cohort of influenza patients. The general purpose nature of the CIABM allows for both the representation of various types of known viral infections and facilitates the exploration of hypothetical, novel viral pathogens.",2020-08-26,immunology,COVID-19,COVID-19
10.1101/711929,Detecting regions of differential abundance betweenscRNA-Seq datasets,"Traditional cell clustering analysis used to compare the transcriptomic landscapes between two biological states in single cell RNA sequencing (scRNA-seq) is largely inadequate to functionally identify distinct and important differentially abundant (DA) subpopulations between groups. This problem is exacerbated further when using unsupervised clustering approaches where differences are not observed in clear cluster structure and therefore many important differences between two biological states go entirely unseen. Here, we develop DA-seq, a powerful unbiased, multi-scale algorithm that uniquely detects and decodes novel DA subpopulations not restricted to well separated clusters or known cell types. We apply DA-seq to several publicly available scRNA-seq datasets on various biological systems to detect differences between distinct phenotype in COVID-19 cases, melanomas subjected to immune checkpoint therapy, embryonic development and aging brain, as well as simulated data. Importantly, we find that DA-seq not only recovers the DA cell types as discovered in the original studies, but also reveals new DA subpopulations that were not described before. Analysis of these novel subpopulations yields new biological insights that would otherwise be neglected.",2020-03-18,bioinformatics,COVID-19,COVID-19
10.1101/833418,Linear B-cell epitope prediction for in silico vaccine design: a performance review of methods available via command-line interface,"Linear B-cell epitope prediction research has received a steadily growing interest ever since the first method was developed in 1981. B-cell epitope identification with the help of an accurate prediction method can lead to an overall faster and cheaper vaccine design process, a crucial necessity in the covid-19 era. Consequently, several B-cell epitope prediction methods have been developed over the past few decades, but without significant success. In this study, we review the current performance and methodology of some of the most widely used linear B-cell epitope predictors which are available via a command-line interface, namely BcePred, BepiPred, ABCpred, COBEpro, SVMTriP, LBtope, and LBEEP. Additionally, we attempted to remedy performance issues of the individual methods by developing a consensus classifier, which combines the separate predictions of these methods into a single output, accelerating the epitope-based vaccine design. While the method comparison was performed with some necessary caveats and individual methods might perform much better for specialized datasets, we hope that this update in performance can aid researchers towards the choice of a predictor, for the development of biomedical applications such as designed vaccines, diagnostic kits, immunotherapeutics, immunodiagnostic tests, antibody production, and disease diagnosis and therapy.",2021-03-13,bioinformatics,COVID-19,COVID-19
10.1101/2020.01.15.907873,The WD and linker domains of ATG16L1 required for non canonical autophagy limit lethal influenza A virus infection at epithelial surfaces.,"Respiratory viruses such as influenza A virus (IAV) and SARS-CoV-2 (Covid-19) cause pandemic infections where cytokine storm syndrome, lung inflammation and pneumonia lead to high mortality. Given the high social and economic cost of these viruses, there is an urgent need for a comprehensive understanding of how the airways defend against virus infection. Viruses entering cells by endocytosis are killed when delivered to lysosomes for degradation. Lysosome delivery is facilitated by non-canonical autophagy pathways that conjugate LC3 to endo-lysosome compartments to enhance lysosome fusion. Here we use mice lacking the WD and linker domains of ATG16L1 to demonstrate that non-canonical autophagy protects mice from lethal IAV infection of the airways. Mice with systemic loss of non-canonical autophagy are exquisitely sensitive to low-pathogenicity murine-adapted IAV where extensive viral replication throughout the lungs, coupled with cytokine amplification mediated by plasmacytoid dendritic cells, leads to fulminant pneumonia, lung inflammation and high mortality. IAV infection was controlled within epithelial barriers where non-canonical autophagy slowed fusion of IAV with endosomes and reduced activation of interferon signalling. This was consistent with conditional mouse models and ex vivo analysis showing that protection against IAV infection of lung was independent of phagocytes and other leukocytes. This establishes non-canonical autophagy pathways in airway epithelial cells as a novel innate defence mechanism that can restrict IAV infection and lethal inflammation at respiratory surfaces.",2020-01-15,microbiology,COVID-19,COVID-19
10.1101/2020.01.12.902452,Programmable low-cost DNA-based platform for viral RNA detection,"Viral detection is critical for controlling disease spread and progression. Recent emerging viral threats including Zika, Ebola, and the current COVID-19 outbreak highlight the cost and difficulty in responding rapidly. To address these challenges, we develop a platform for low-cost and rapid detection of viral RNA with DNA nanoswitches designed to mechanically reconfigure in response to specific viruses. Using Zika virus as a model system, we show non-enzymatic detection of viral RNA to the attomole level, with selective and multiplexed detection between related viruses and viral strains. For clinical-level sensitivity in biological fluids, we paired the assay with a sample preparation step using either RNA extraction or isothermal pre-amplification. Our assay can be performed with minimal or no lab infrastructure, and is readily adaptable to detect other viruses. We demonstrate the adaptability of our method by quickly developing and testing DNA nanoswitches for detecting a fragment of SARS-CoV-2 RNA in human saliva. Given this versatility, we expect that further development and field implementation will improve our ability to detect emergent viral threats and ultimately limit their impact.",2020-01-16,bioengineering,COVID-19,COVID-19
10.1101/2020.01.26.919985,"Single-cell RNA expression profiling of ACE2, the putative receptor of Wuhan 2019-nCov","A novel coronavirus SARS-CoV-2 was identified in Wuhan, Hubei Province, China in December of 2019. According to WHO report, this new coronavirus has resulted in 76,392 confirmed infections and 2,348 deaths in China by 22 February, 2020, with additional patients being identified in a rapidly growing number internationally. SARS-CoV-2 was reported to share the same receptor, Angiotensin-converting enzyme 2 (ACE2), with SARS-CoV. Here based on the public database and the state-of-the-art single-cell RNA-Seq technique, we analyzed the ACE2 RNA expression profile in the normal human lungs. The result indicates that the ACE2 virus receptor expression is concentrated in a small population of type II alveolar cells (AT2). Surprisingly, we found that this population of ACE2-expressing AT2 also highly expressed many other genes that positively regulating viral entry, reproduction and transmission. This study provides a biological background for the epidemic investigation of the COVID-19, and could be informative for future anti-ACE2 therapeutic strategy development.",2020-01-26,bioinformatics,COVID-19,COVID-19
10.1101/2020.01.29.925354,Interpretable detection of novel human viruses from genome sequencing data,"Viruses evolve extremely quickly, so reliable methods for viral host prediction are necessary to safeguard biosecurity and biosafety alike. Novel human-infecting viruses are difficult to detect with standard bioinformatics workflows. Here, we predict whether a virus can infect humans directly from next-generation sequencing reads. We show that deep neural architectures significantly outperform both shallow machine learning and standard, homology-based algorithms, cutting the error rates in half and generalizing to taxonomic units distant from those presented during training. Further, we develop a suite of interpretability tools and show that it can be applied also to other models beyond the host prediction task. We propose a new approach for convolutional filter visualization to disentangle the information content of each nucleotide from its contribution to the final classification decision. Nucleotide-resolution maps of the learned associations between pathogen genomes and the infectious phenotype can be used to detect regions of interest in novel agents, for example the SARS-CoV-2 coronavirus, unknown before it caused a COVID-19 pandemic in 2020. All methods presented here are implemented as easy-to-install packages enabling analysis of NGS datasets without requiring any deep learning skills, but also allowing advanced users to easily train and explain new models for genomics.",2020-01-30,bioinformatics,COVID-19,COVID-19
10.1101/2020.01.31.929695,Molecular Modeling Evaluation of the Binding Abilities of Ritonavir and Lopinavir to Wuhan Pneumonia Coronavirus Proteases,"Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19). In this study, the structure models of two severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) proteases, coronavirus endopeptidase C30 (CEP_C30) and papain like viral protease (PLVP), were built by homology modeling. Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes. In the simulations, ritonavir can bind to CEP_C30 most suitably, and induce significant conformation changes of CEP_C30; lopinavir can also bind to CEP_C30 suitably, and induce significant conformation changes of CEP_C30; darunavir can bind to PLVP suitably with slight conformation changes of PLVP. It is suggested that the therapeutic effect of ritonavir and lopinavir on COVID-19 may be mainly due to their inhibitory effect on CEP_C30, while ritonavir may have stronger efficacy; the inhibitory effect of darunavir on SARS-CoV-2 and its potential therapeutic effect may be mainly due to its inhibitory effect on PLVP.",2020-02-03,biochemistry,COVID-19,COVID-19
