Disease,Rank,Feature,Coefficient
COVID-19,1,cov,1.5262689364234885
COVID-19,2,sar,1.3895655715668385
COVID-19,3,sar cov,1.325449936823696
COVID-19,4,covid,1.1904189669463385
COVID-19,5,coronavirus,0.9997586898225312
COVID-19,6,epitope,0.5106697564463261
COVID-19,7,respiratory,0.494288143730016
COVID-19,8,outbreak,0.489178217749356
COVID-19,9,ace,0.47138562238732
COVID-19,10,design,0.4442167869158472
COVID-19,11,disease covid,0.42562524527737644
COVID-19,12,viral,0.41695271878884177
COVID-19,13,sars,0.41567330731504176
COVID-19,14,sars cov,0.41567330731504176
COVID-19,15,vaccine,0.38202099772530623
COVID-19,16,novel coronavirus,0.3774702706067912
COVID-19,17,coronaviruse,0.3698597736496477
COVID-19,18,coronavirus disease,0.36687595784411875
COVID-19,19,ncov,0.34876302285621735
COVID-19,20,virus,0.33152401744402127
Dengue,1,dengue,1.3859361555782104
Dengue,2,mosquito,0.9918395436252707
Dengue,3,denv,0.8613178663909518
Dengue,4,aegypti,0.713089141381207
Dengue,5,vector,0.7080253092377174
Dengue,6,zika,0.6107871859647938
Dengue,7,virus,0.6020326485106552
Dengue,8,dengue virus,0.5349886538237235
Dengue,9,aede,0.4689841039296952
Dengue,10,flavivirus,0.4397712303121991
Dengue,11,antiviral,0.42799223162516226
Dengue,12,zikv,0.41558356352137704
Dengue,13,chikungunya,0.40334072852277747
Dengue,14,population,0.40287657530093457
Dengue,15,incidence,0.3524583698706048
Dengue,16,albopictus,0.3418015008642854
Dengue,17,female,0.33454300375404444
Dengue,18,virus denv,0.3289917133357391
Dengue,19,vector control,0.3111068925638109
Dengue,20,fever,0.3072997137399
Tuberculosis,1,tuberculosis,1.4486382390569192
Tuberculosis,2,mtb,1.0042249362439875
Tuberculosis,3,mycobacterium,0.9657144896835712
Tuberculosis,4,mycobacterium tuberculosis,0.8020402684967669
Tuberculosis,5,bacterial,0.5857647435267656
Tuberculosis,6,gene,0.5252608439691416
Tuberculosis,7,macrophage,0.46820587912129386
Tuberculosis,8,growth,0.45884847684454944
Tuberculosis,9,mycobacterial,0.4415507296242121
Tuberculosis,10,tuberculosis mtb,0.44082668299457156
Tuberculosis,11,antibiotic,0.4342560603552485
Tuberculosis,12,mycobacteria,0.36750263006571454
Tuberculosis,13,resistance,0.3670373712306796
Tuberculosis,14,pathogen,0.3631566318656858
Tuberculosis,15,role,0.32421017403104585
Tuberculosis,16,drug,0.30304010473592535
Tuberculosis,17,virulence,0.2940978436816252
Tuberculosis,18,esx,0.28771389890669097
Tuberculosis,19,bacteria,0.286448123294593
Tuberculosis,20,smegmatis,0.28603815522989756
